                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0152,                 1.9502,                 3.2865,                0.00891,                0.02549,                0.00854,                0.00249,                 4.4573,                 5.9584,                 4.4689,             0.00047015,             0.00047015,             0.00047015
                      2,                 1.9829,                 1.0129,                 2.1713,                0.58409,                0.72284,                0.56402,                 0.2556,                 1.9453,                 1.2769,                  2.161,              0.0009418,              0.0009418,              0.0009418
                      3,                 1.8632,                0.95132,                 1.9575,                0.76126,                0.74467,                0.79609,                0.40077,                 1.7627,                 1.2849,                 1.9845,              0.0014087,              0.0014087,              0.0014087
                      4,                 1.6905,                0.85848,                 1.7802,                0.76728,                0.74534,                0.78548,                0.38535,                 1.8084,                 1.2674,                 1.9375,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.6462,                 0.8363,                 1.7079,                0.86202,                0.80151,                0.88059,                0.51498,                 1.4491,                0.81361,                  1.706,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.5843,                0.80201,                 1.6411,                0.85927,                0.80519,                0.88363,                0.49556,                 1.5675,                0.81303,                  1.739,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.5334,                0.77563,                 1.5792,                0.87776,                0.82339,                0.90253,                0.51671,                 1.5117,                0.76388,                 1.6961,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.4908,                  0.757,                 1.5526,                0.88012,                0.81775,                0.90533,                0.55543,                 1.3837,                0.73432,                 1.5992,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.5128,                0.76861,                 1.5481,                0.88135,                0.84007,                0.91411,                0.55822,                 1.4095,                0.72236,                 1.5979,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.4423,                0.73847,                 1.4952,                0.88803,                0.82994,                 0.9127,                0.56892,                 1.3354,                0.68958,                 1.5648,              0.0013653,              0.0013653,              0.0013653
                     11,                 1.4226,                0.71525,                  1.455,                0.87991,                0.82748,                0.90616,                0.55859,                 1.3856,                0.69688,                 1.5723,              0.0013583,              0.0013583,              0.0013583
                     12,                 1.4158,                0.70978,                 1.4556,                0.89737,                0.82656,                0.91918,                0.60349,                  1.255,                0.64317,                 1.4945,              0.0013512,              0.0013512,              0.0013512
                     13,                 1.4064,                0.70047,                 1.4476,                0.89007,                0.85185,                0.92776,                0.60779,                 1.2546,                0.67919,                 1.4847,              0.0013441,              0.0013441,              0.0013441
                     14,                 1.3778,                0.69838,                 1.4321,                0.88877,                0.84101,                0.92477,                0.60673,                 1.2509,                0.64327,                  1.477,               0.001337,               0.001337,               0.001337
                     15,                 1.3598,                0.69895,                 1.4183,                0.89014,                0.83792,                0.92233,                0.57375,                 1.3501,                0.66079,                 1.5309,                0.00133,                0.00133,                0.00133
                     16,                 1.3496,                0.67783,                 1.4057,                0.89452,                0.85471,                0.93053,                0.61389,                 1.2619,                0.62203,                 1.4756,              0.0013229,              0.0013229,              0.0013229
                     17,                  1.344,                0.68716,                 1.4095,                0.89686,                 0.8411,                0.92654,                0.60836,                 1.2514,                 0.6311,                 1.4662,              0.0013158,              0.0013158,              0.0013158
                     18,                 1.3204,                0.65926,                 1.3898,                0.89843,                0.84857,                0.93407,                0.61959,                 1.2359,                0.62141,                 1.4572,              0.0013087,              0.0013087,              0.0013087
                     19,                 1.3368,                0.66117,                 1.3987,                0.89835,                0.84601,                0.92958,                 0.6176,                 1.2248,                0.62361,                 1.4514,              0.0013017,              0.0013017,              0.0013017
                     20,                  1.308,                0.65139,                  1.372,                0.89542,                0.86782,                0.93441,                0.62027,                 1.2152,                0.63548,                 1.4336,              0.0012946,              0.0012946,              0.0012946
                     21,                 1.3172,                0.65411,                 1.3783,                0.88671,                0.84948,                0.92396,                0.56844,                 1.3784,                0.63307,                 1.5574,              0.0012875,              0.0012875,              0.0012875
                     22,                 1.3118,                0.64775,                 1.3675,                0.89924,                0.86621,                0.93851,                0.61571,                 1.2469,                0.62041,                 1.4508,              0.0012805,              0.0012805,              0.0012805
                     23,                 1.2825,                0.63478,                 1.3632,                0.89991,                0.86188,                0.93683,                0.63805,                 1.1818,                0.58656,                 1.4067,              0.0012734,              0.0012734,              0.0012734
                     24,                 1.3037,                0.63917,                  1.355,                 0.9053,                0.86117,                0.93979,                0.64027,                 1.1775,                0.58092,                 1.4057,              0.0012663,              0.0012663,              0.0012663
                     25,                 1.2906,                0.62771,                 1.3587,                0.89805,                0.86308,                 0.9392,                0.63788,                  1.179,                0.59615,                 1.4061,              0.0012592,              0.0012592,              0.0012592
                     26,                 1.2857,                0.63312,                 1.3527,                0.90393,                0.85356,                0.93511,                 0.6258,                 1.2103,                0.61845,                 1.4293,              0.0012522,              0.0012522,              0.0012522
                     27,                 1.2663,                0.62986,                 1.3552,                0.90777,                 0.8566,                0.94166,                0.63148,                 1.1953,                0.58826,                 1.4174,              0.0012451,              0.0012451,              0.0012451
                     28,                 1.2719,                0.61921,                 1.3298,                0.91261,                0.86066,                0.94183,                0.63209,                 1.1985,                0.57482,                 1.4167,               0.001238,               0.001238,               0.001238
                     29,                 1.2585,                0.60992,                  1.327,                0.90875,                0.86188,                0.94244,                0.64202,                 1.1731,                0.57781,                 1.3928,              0.0012309,              0.0012309,              0.0012309
                     30,                 1.2567,                0.60994,                 1.3351,                0.89652,                0.85431,                0.93411,                 0.6349,                 1.1752,                0.61381,                 1.4039,              0.0012239,              0.0012239,              0.0012239
                     31,                 1.2497,                0.61559,                   1.34,                0.89871,                0.87668,                0.94509,                0.63823,                 1.1798,                0.60197,                 1.3975,              0.0012168,              0.0012168,              0.0012168
                     32,                 1.2509,                0.60555,                 1.3268,                0.90178,                0.86393,                0.94203,                0.64323,                 1.1738,                0.56457,                 1.3983,              0.0012097,              0.0012097,              0.0012097
                     33,                 1.2518,                0.59961,                 1.3162,                0.90147,                0.86956,                0.94384,                0.64317,                 1.1603,                0.57362,                 1.3929,              0.0012026,              0.0012026,              0.0012026
                     34,                  1.243,                0.59746,                 1.3152,                0.91064,                0.86301,                0.94634,                0.64334,                 1.1836,                0.56385,                 1.4009,              0.0011956,              0.0011956,              0.0011956
                     35,                 1.2366,                0.59078,                 1.3117,                0.90307,                 0.8669,                0.94436,                0.64188,                 1.1837,                0.56017,                 1.4032,              0.0011885,              0.0011885,              0.0011885
                     36,                 1.2325,                0.60003,                 1.3161,                0.91357,                0.86249,                0.94251,                0.63556,                 1.1835,                0.56261,                 1.4068,              0.0011814,              0.0011814,              0.0011814
                     37,                  1.252,                 0.6168,                 1.3219,                0.90072,                0.87499,                0.94647,                0.64503,                 1.1693,                0.55706,                 1.3919,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.2279,                0.59259,                 1.3117,                0.90377,                0.87765,                0.94958,                 0.6396,                 1.1934,                0.55806,                 1.4106,              0.0011673,              0.0011673,              0.0011673
                     39,                 1.2289,                0.58855,                 1.3119,                0.90823,                0.86577,                0.94514,                0.64869,                 1.1529,                 0.5615,                 1.3857,              0.0011602,              0.0011602,              0.0011602
                     40,                 1.2207,                0.58403,                 1.3033,                0.90816,                0.86966,                0.94686,                0.65429,                 1.1454,                0.54584,                 1.3774,              0.0011531,              0.0011531,              0.0011531
                     41,                 1.2274,                0.58591,                 1.3102,                0.90354,                 0.8713,                0.94589,                0.65157,                 1.1454,                0.55586,                 1.3782,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.2118,                0.58584,                 1.3056,                 0.9065,                0.86547,                0.94494,                0.65347,                  1.142,                0.54212,                 1.3791,               0.001139,               0.001139,               0.001139
                     43,                 1.2128,                0.58032,                  1.298,                0.90993,                0.86506,                0.94404,                0.65183,                 1.1436,                0.54428,                 1.3708,              0.0011319,              0.0011319,              0.0011319
                     44,                 1.2106,                0.57997,                 1.3092,                0.90131,                0.87246,                0.94456,                0.64903,                 1.1612,                0.54045,                 1.3836,              0.0011248,              0.0011248,              0.0011248
                     45,                 1.2055,                0.58375,                  1.293,                0.90419,                 0.8757,                0.94756,                0.65247,                 1.1496,                0.54211,                 1.3788,              0.0011178,              0.0011178,              0.0011178
                     46,                 1.2128,                0.57756,                  1.301,                0.89964,                0.88226,                0.94871,                0.65631,                 1.1419,                0.53565,                 1.3734,              0.0011107,              0.0011107,              0.0011107
                     47,                  1.204,                0.57249,                 1.2973,                0.90593,                0.87519,                0.94754,                0.65469,                 1.1408,                0.54244,                 1.3688,              0.0011036,              0.0011036,              0.0011036
                     48,                 1.2073,                0.57475,                 1.3014,                0.90894,                0.87755,                0.94887,                0.65248,                 1.1414,                0.54592,                 1.3723,              0.0010965,              0.0010965,              0.0010965
                     49,                 1.1965,                0.56933,                 1.2923,                0.90088,                 0.8785,                0.94754,                0.65164,                 1.1468,                0.54001,                 1.3713,              0.0010895,              0.0010895,              0.0010895
                     50,                 1.1969,                0.56015,                 1.2798,                0.91376,                0.86786,                0.94894,                0.66109,                 1.1229,                 0.5276,                 1.3599,              0.0010824,              0.0010824,              0.0010824
                     51,                 1.1906,                0.56091,                 1.2789,                0.90322,                 0.8762,                 0.9461,                0.65447,                 1.1394,                0.53787,                 1.3761,              0.0010753,              0.0010753,              0.0010753
                     52,                 1.1845,                0.56515,                 1.2817,                0.90942,                0.87253,                0.94928,                  0.656,                 1.1404,                0.53089,                 1.3719,              0.0010682,              0.0010682,              0.0010682
                     53,                 1.1851,                0.55878,                 1.2937,                0.90169,                0.88559,                0.95051,                0.65936,                 1.1303,                0.53045,                 1.3679,              0.0010612,              0.0010612,              0.0010612
                     54,                 1.1829,                  0.558,                 1.2857,                0.91261,                0.87247,                0.95037,                0.65837,                 1.1375,                 0.5262,                 1.3675,              0.0010541,              0.0010541,              0.0010541
                     55,                 1.1786,                0.55779,                 1.2932,                 0.9161,                 0.8686,                0.94877,                0.66097,                 1.1272,                 0.5226,                 1.3672,               0.001047,               0.001047,               0.001047
                     56,                 1.1696,                0.55018,                   1.27,                0.91332,                0.87233,                0.95011,                0.65523,                 1.1459,                0.52748,                 1.3777,                0.00104,                0.00104,                0.00104
                     57,                 1.1785,                0.55718,                 1.2774,                0.90397,                0.87901,                0.95006,                0.66006,                 1.1347,                0.52792,                 1.3683,              0.0010329,              0.0010329,              0.0010329
                     58,                 1.1797,                0.55376,                 1.2768,                0.91025,                 0.8754,                0.94922,                0.65299,                 1.1506,                0.52735,                 1.3748,              0.0010258,              0.0010258,              0.0010258
                     59,                 1.1759,                0.54763,                 1.2733,                0.91462,                 0.8741,                0.95072,                 0.6594,                  1.136,                0.52106,                 1.3692,              0.0010187,              0.0010187,              0.0010187
                     60,                 1.1683,                 0.5488,                 1.2722,                0.91425,                0.87366,                0.95178,                0.66325,                 1.1244,                0.51554,                 1.3628,              0.0010117,              0.0010117,              0.0010117
                     61,                 1.1743,                0.55004,                 1.2769,                0.90625,                0.87686,                0.94906,                0.66048,                 1.1292,                0.52755,                 1.3616,              0.0010046,              0.0010046,              0.0010046
                     62,                 1.1584,                 0.5422,                  1.269,                0.91577,                0.87499,                0.95119,                0.66702,                 1.1162,                0.50598,                  1.356,             0.00099751,             0.00099751,             0.00099751
                     63,                  1.171,                0.54124,                 1.2633,                0.90387,                0.87799,                0.94838,                0.65797,                 1.1301,                0.53143,                 1.3661,             0.00099044,             0.00099044,             0.00099044
                     64,                  1.169,                0.55778,                 1.2781,                0.91382,                0.86936,                0.94997,                0.66308,                 1.1242,                0.52167,                 1.3588,             0.00098337,             0.00098337,             0.00098337
                     65,                 1.1556,                0.54402,                 1.2688,                0.91132,                0.87335,                0.95167,                0.66049,                 1.1275,                0.51668,                 1.3638,             0.00097629,             0.00097629,             0.00097629
                     66,                 1.1602,                0.53784,                 1.2722,                0.90491,                0.88174,                0.95016,                0.66091,                 1.1344,                0.52299,                 1.3698,             0.00096922,             0.00096922,             0.00096922
                     67,                 1.1584,                0.54137,                  1.263,                  0.907,                0.87676,                0.94891,                0.65873,                 1.1375,                0.51746,                 1.3677,             0.00096215,             0.00096215,             0.00096215
                     68,                 1.1529,                 0.5327,                 1.2672,                 0.9113,                0.88052,                0.95339,                0.66497,                 1.1182,                 0.5084,                 1.3564,             0.00095507,             0.00095507,             0.00095507
                     69,                 1.1442,                0.53357,                 1.2598,                0.90777,                0.87355,                0.94808,                0.66036,                  1.122,                0.52168,                 1.3627,               0.000948,               0.000948,               0.000948
                     70,                  1.152,                0.53523,                 1.2575,                0.90495,                0.88318,                0.95154,                0.66122,                 1.1415,                0.51456,                 1.3683,             0.00094093,             0.00094093,             0.00094093
                     71,                 1.1439,                 0.5358,                 1.2659,                0.91289,                0.87468,                0.95085,                 0.6608,                  1.126,                0.51917,                 1.3588,             0.00093385,             0.00093385,             0.00093385
                     72,                  1.143,                0.52772,                 1.2489,                0.90891,                0.88349,                0.95162,                0.66471,                 1.1259,                0.51289,                 1.3625,             0.00092678,             0.00092678,             0.00092678
                     73,                 1.1416,                0.53101,                 1.2482,                0.91592,                0.86888,                0.95018,                0.65845,                 1.1374,                0.51331,                 1.3711,              0.0009197,              0.0009197,              0.0009197
                     74,                  1.135,                0.53376,                 1.2626,                0.91755,                0.87233,                0.95096,                0.66344,                 1.1211,                 0.5123,                 1.3603,             0.00091263,             0.00091263,             0.00091263
                     75,                 1.1319,                0.53092,                 1.2534,                0.91089,                0.87468,                0.95036,                 0.6642,                 1.1267,                0.50981,                 1.3607,             0.00090556,             0.00090556,             0.00090556
                     76,                 1.1333,                0.52833,                 1.2505,                0.90496,                0.88441,                0.95166,                0.66364,                 1.1226,                0.51223,                 1.3633,             0.00089848,             0.00089848,             0.00089848
                     77,                 1.1394,                0.52771,                 1.2484,                  0.913,                0.87765,                0.95062,                0.66186,                 1.1247,                0.51261,                 1.3583,             0.00089141,             0.00089141,             0.00089141
                     78,                  1.122,                0.52215,                 1.2487,                0.91247,                0.87413,                 0.9484,                0.65466,                  1.145,                0.51427,                 1.3806,             0.00088434,             0.00088434,             0.00088434
                     79,                  1.128,                0.52086,                 1.2373,                0.91423,                0.87448,                0.95104,                0.66501,                 1.1198,                 0.5044,                 1.3589,             0.00087726,             0.00087726,             0.00087726
                     80,                 1.1344,                0.52499,                 1.2378,                0.92031,                0.87069,                0.95145,                0.66699,                  1.117,                0.50704,                 1.3542,             0.00087019,             0.00087019,             0.00087019
                     81,                 1.1208,                0.51816,                 1.2438,                0.90974,                0.88125,                0.95156,                0.66223,                 1.1263,                0.50972,                 1.3648,             0.00086312,             0.00086312,             0.00086312
                     82,                 1.1274,                0.52149,                 1.2432,                0.91276,                0.87919,                0.95151,                0.66665,                 1.1209,                0.50207,                 1.3597,             0.00085604,             0.00085604,             0.00085604
                     83,                 1.1124,                0.51044,                 1.2267,                0.91707,                0.87402,                0.95011,                0.66227,                 1.1297,                0.50731,                 1.3673,             0.00084897,             0.00084897,             0.00084897
                     84,                 1.1284,                0.52482,                 1.2427,                0.90667,                0.88422,                0.95317,                0.66401,                 1.1336,                0.51136,                 1.3647,              0.0008419,              0.0008419,              0.0008419
                     85,                 1.1224,                0.52068,                 1.2429,                0.90573,                0.87939,                0.94895,                0.66433,                  1.113,                0.50782,                 1.3546,             0.00083482,             0.00083482,             0.00083482
                     86,                 1.1032,                0.50929,                 1.2333,                0.91873,                0.87345,                 0.9513,                0.66351,                 1.1267,                0.50634,                 1.3616,             0.00082775,             0.00082775,             0.00082775
                     87,                 1.1081,                0.51347,                 1.2278,                0.91108,                0.88121,                0.95229,                0.66405,                 1.1319,                0.50883,                 1.3663,             0.00082067,             0.00082067,             0.00082067
                     88,                 1.1103,                0.51152,                 1.2207,                0.90641,                 0.8842,                0.95259,                0.66746,                 1.1184,                0.50007,                 1.3577,              0.0008136,              0.0008136,              0.0008136
                     89,                 1.1029,                0.51256,                 1.2317,                0.90875,                0.88205,                0.95373,                0.66758,                 1.1214,                0.49996,                 1.3593,             0.00080653,             0.00080653,             0.00080653
                     90,                 1.0971,                0.50812,                 1.2316,                0.91001,                 0.8757,                0.95113,                0.66223,                 1.1285,                0.50621,                 1.3655,             0.00079945,             0.00079945,             0.00079945
                     91,                 1.1134,                0.51024,                 1.2397,                0.91566,                0.87898,                0.95183,                0.66124,                 1.1316,                0.51058,                 1.3711,             0.00079238,             0.00079238,             0.00079238
                     92,                 1.0979,                0.50437,                  1.224,                0.91582,                0.87919,                0.95333,                0.66578,                   1.13,                0.49545,                 1.3667,             0.00078531,             0.00078531,             0.00078531
                     93,                 1.1077,                0.50844,                  1.233,                0.91504,                0.87038,                0.95122,                0.66377,                 1.1246,                0.50106,                 1.3647,             0.00077823,             0.00077823,             0.00077823
                     94,                 1.0941,                0.50723,                  1.225,                0.91312,                 0.8754,                0.95132,                0.65693,                 1.1474,                0.50568,                 1.3802,             0.00077116,             0.00077116,             0.00077116
                     95,                 1.1963,                0.70912,                 1.2982,                0.05704,                0.17436,                0.03688,                0.01383,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     96,                 1.1508,                0.55273,                 1.2679,                0.89522,                0.87214,                0.94235,                0.64418,                 1.1557,                 0.5485,                 1.4095,             0.00075701,             0.00075701,             0.00075701
                     97,                  1.133,                0.54049,                 1.2752,                0.91539,                0.85983,                 0.9456,                0.65193,                 1.1502,                 0.5344,                 1.3975,             0.00074994,             0.00074994,             0.00074994
                     98,                  1.117,                0.52715,                 1.2506,                0.90403,                0.87601,                0.94778,                 0.6591,                 1.1399,                0.52944,                 1.3906,             0.00074287,             0.00074287,             0.00074287
                     99,                 1.1146,                0.52447,                 1.2459,                0.90074,                0.87919,                0.94958,                0.65947,                 1.1374,                0.52253,                 1.3861,             0.00073579,             0.00073579,             0.00073579
